Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
The Caine Mutiny,(1954),124 min,7.7,63        ,"28,913",$21.75M,"When a U.S. Naval captain shows signs of mental instability that jeopardises the ship, the first officer is urged to consider relieving him of command."
The Triplets of Belleville,(2003),80 min,7.7,91        ,"56,009",$7.00M,"When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him."
Evil,(2003),113 min,7.7,61        ,"40,398",$0.02M,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back."
Key Largo,(1948),100 min,7.7,0,"42,845",0,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other."
The Motorcycle Diaries,(2004),126 min,7.7,75        ,"103,352",$16.78M,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.
Adam's Apples,(2005),94 min,7.7,51        ,"52,798",$0.00M,A neo-Nazi sentenced to community service at a church clashes with the blindly devoted minister.
Dreams,(1990),119 min,7.7,0,"27,848",$1.96M,A collection of tales based upon eight of director Akira Kurosawa's recurring dreams.
Confessions,(2010),106 min,7.7,0,"40,830",0,A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.
The Lady Vanishes,(1938),96 min,7.7,98        ,"55,183",0,"While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train."
In America,(2002),105 min,7.7,76        ,"43,830",$15.54M,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.
Joint Security Area,(2000),110 min,7.7,58        ,"32,623",0,"After a shooting incident at the North-South Korean border DMZ leaves two North Korean soldiers dead, a neutral Swiss and Swedish team investigates what actually happened."
Marty,(1955),90 min,7.7,82        ,"25,826",0,A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall for each other.
Taste of Cherry,(1997),95 min,7.7,80        ,"33,879",$0.31M,An Iranian man drives his car in search of someone who will quietly bury him under a cherry tree after he commits suicide.
The Girl Who Leapt Through Time,(2006),98 min,7.7,66        ,"68,880",0,"A high-school girl named Makoto acquires the power to travel back in time, and decides to use it for her own personal benefits. Little does she know that she is affecting the lives of others just as much as she is her own."
The Experiment,(2001),120 min,7.7,60        ,"95,179",$0.14M,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence."
After the Wedding,(2006),120 min,7.7,78        ,"35,942",$0.41M,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret."
The Purple Rose of Cairo,(1985),82 min,7.7,75        ,"53,392",$10.63M,"In 1935 New Jersey, a movie character walks off the screen and into the real world."
Fireworks,(1997),103 min,7.7,83        ,"31,974",$0.23M,"Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions."
The Muppet Christmas Carol,(1992),85 min,7.7,64        ,"64,530",$27.28M,The Muppets present their own touching rendition of Charles Dickens' classic tale.
Love and Death,(1975),85 min,7.7,89        ,"39,847",0,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon."
The Breadwinner,(2017),94 min,7.7,78        ,"27,293",$0.31M,"In 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family."
The Past,(2013),130 min,7.7,85        ,"50,019",$1.33M,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce."
Zelig,(1983),79 min,7.7,0,"43,245",$11.80M,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people."
The Edge of Heaven,(2007),122 min,7.7,85        ,"32,889",$0.74M,A Turkish man travels to Istanbul to find the daughter of his father's former girlfriend.
Once Upon a Time in Hollywood,(2019),161 min,7.6,83        ,"791,577",$142.50M,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
Harry Potter and the Sorcerer's Stone,(2001),152 min,7.6,65        ,"818,478",$317.58M,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
American Psycho,(2000),102 min,7.6,64        ,"668,558",$15.07M,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
Watchmen,(2009),162 min,7.6,56        ,"566,996",$107.51M,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
Superbad,(2007),113 min,7.6,76        ,"607,120",$121.46M,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
Saw,(2004),103 min,7.6,46        ,"439,753",$56.00M,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer."
Guardians of the Galaxy Vol. 2,(2017),136 min,7.6,67        ,"728,280",$389.81M,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego."
300,(2006),117 min,7.6,52        ,"842,617",$210.61M,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.
Deadpool 2,(2018),119 min,7.6,66        ,"613,983",$324.59M,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
RoboCop,(1987),102 min,7.6,70        ,"270,273",$53.42M,"In a dystopic and crime-ridden Detroit, a terminally wounded cop returns to the force as a powerful cyborg haunted by submerged memories."
The Fifth Element,(1997),126 min,7.6,52        ,"489,593",$63.54M,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
The Butterfly Effect,(2004),113 min,7.6,30        ,"506,185",$57.94M,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
Kick-Ass,(2010),117 min,7.6,66        ,"579,385",$48.07M,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so."
A Star Is Born,(2018),136 min,7.6,88        ,"402,488",$215.29M,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
The Thin Red Line,(1998),170 min,7.6,78        ,"194,342",$36.40M,"Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War."
Office Space,(1999),89 min,7.6,68        ,"278,303",$10.82M,Three company workers who hate their jobs decide to rebel against their greedy boss.
Moneyball,(2011),133 min,7.6,87        ,"445,296",$75.61M,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.
What We Do in the Shadows,(2014),86 min,7.6,76        ,"191,991",$3.33M,"Viago, Deacon, and Vladislav are vampires who are struggling with the mundane aspects of modern life, like paying rent, keeping up with the chore wheel, trying to get into nightclubs, and overcoming flatmate conflicts."
Stardust,(2007),127 min,7.6,66        ,"278,795",$38.63M,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
Minority Report,(2002),145 min,7.6,80        ,"569,285",$132.07M,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder."
Hell or High Water,(II) (2016),102 min,7.6,88        ,"241,315",$26.86M,"Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch."
Kung Fu Panda,(2008),92 min,7.6,74        ,"494,848",$215.43M,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way."
My Cousin Vinny,(1992),120 min,7.6,68        ,"134,157",$52.93M,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience."
Star Wars: Episode III - Revenge of the Sith,(2005),140 min,7.6,68        ,"818,857",$380.26M,"Three years into the Clone Wars, Obi-Wan pursues a new threat, while Anakin is lured by Chancellor Palpatine into a sinister plot to rule the galaxy."
The Blind Side,(2009),129 min,7.6,53        ,"348,301",$255.96M,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family."
